effect,n_seeds_planned,n_seeds_available,mean,sd,median,q25,q75,iqr,q025,q975,positive_fraction,negative_fraction,zero_fraction,direction_consistency,interpretation
calibration_temp_macro_f1,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
leakage_reduced_protocol_brier,1,1,0.037080763884019895,,0.037080763884019895,0.037080763884019895,0.037080763884019895,0.0,0.037080763884019895,0.037080763884019895,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
leakage_reduced_protocol_ece_15,1,1,0.014208171911833068,,0.014208171911833068,0.014208171911833068,0.014208171911833068,0.0,0.014208171911833068,0.014208171911833068,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
leakage_reduced_protocol_macro_f1,1,1,-0.024230135125722904,,-0.024230135125722904,-0.024230135125722904,-0.024230135125722904,0.0,-0.024230135125722904,-0.024230135125722904,0.0,1.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
leakage_reduced_protocol_nll,1,1,0.08362849682125387,,0.08362849682125387,0.08362849682125387,0.08362849682125387,0.0,0.08362849682125387,0.08362849682125387,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
protocol_brier,10,10,0.15719442508901454,0.004480925142524662,0.15697907972088881,0.15648641697436394,0.16042750696466018,0.003941089990296243,0.1494679843873378,0.1628412707165995,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
protocol_ece_15,10,10,0.0423866168010332,0.001530526783005662,0.04221321184470793,0.04136149126210256,0.04353869147989982,0.0021772002177972566,0.040241650107419924,0.04469500551953144,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
protocol_macro_f1,10,10,-0.12699236274632028,0.004018732867169982,-0.12784230453739692,-0.1293180678517182,-0.12418283265771508,0.005135235194003121,-0.1331095818377514,-0.12086632083790869,0.0,1.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
protocol_nll,10,10,0.5459229583976535,0.031064241917067054,0.5471220440771007,0.5215438829942864,0.5671971832868189,0.04565330029253245,0.5039929209711413,0.5925513139751983,1.0,0.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
selective80_iso,10,10,-0.053095941560299044,0.0015697426416358773,-0.052955692011823596,-0.054365412761432017,-0.05202418775018743,0.002341225011244584,-0.055375706237997924,-0.050876624493099355,0.0,1.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
selective80_raw,10,10,-0.056452506663648115,0.0016268625426178313,-0.05616270197437201,-0.05790932176408432,-0.055486450678899756,0.002422871085184568,-0.05846834321508747,-0.0540058091839249,0.0,1.0,0.0,1.0,descriptive split-seed sensitivity; seeds are not independent participants
