dataset,model,protocol,method,alpha,nominal_coverage,coverage,mean_size,median_size,singleton_fraction,empty_fraction,full_error,singleton_error,n_subjects_total,n_subjects_available_coverage,n_subjects_available_mean_size,n_subjects_available_median_size,n_subjects_available_singleton_fraction,n_subjects_available_empty_fraction,n_subjects_available_full_error,n_subjects_available_singleton_error
uci_har,logistic,sample_mixed,raw,0.1,0.9,0.899598717330726,1.5403465225893338,1.4483333333333335,0.42194441918967984,0.09927635325907878,0.017839772380777108,0.0023656965202797,30,30,30,30,30,30,30,30
uci_har,logistic,sample_mixed,raw,0.2,0.8,0.7989635965199053,1.2091156937366447,1.04,0.475035422626905,0.19795227068092028,0.017839772380777108,0.0066690333165145554,30,30,30,30,30,30,30,30
uci_har,logistic,subject_disjoint,raw,0.1,0.9,0.8913990240926442,1.6357501495913134,1.54,0.39253843580037456,0.0951415806160567,0.05580357281846939,0.027143985170693826,30,30,30,30,30,30,30,30
uci_har,logistic,subject_disjoint,raw,0.2,0.8,0.7930678954443197,1.2789313415747918,1.2,0.4548719521189094,0.1880412741323166,0.05580357281846939,0.03441077557721089,30,30,30,30,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,0.1,0.9,0.9227407621382545,1.5418301082095893,1.7166666666666666,0.37832441729246286,0.060494954312847876,0.047885720623095644,0.045966933519417295,30,30,30,30,30,30,30,30
uci_har,random_forest,leakage_reduced_mixed,raw,0.2,0.8,0.8169674970387806,1.2298810123295958,1.0666666666666667,0.4810594688953927,0.15384032303815556,0.047885720623095644,0.06186424135475386,30,30,30,30,30,30,30,30
uci_har,random_forest,sample_mixed,raw,0.1,0.9,0.9176775741214287,1.5102980542097335,1.7116666666666667,0.38167454781994414,0.07329874878391787,0.02469299772904354,0.024844900477799425,30,30,30,30,30,30,30,30
uci_har,random_forest,sample_mixed,raw,0.2,0.8,0.8110817300176477,1.1864435417161145,1.04,0.4807601170868463,0.17511394209902328,0.02469299772904354,0.029076865395068978,30,30,30,30,30,30,30,30
uci_har,random_forest,subject_disjoint,raw,0.1,0.9,0.9114021269381134,1.5745398103557693,1.6633333333333333,0.3599509066030691,0.06483489873808675,0.07521755360823174,0.06413140637539641,30,30,30,30,30,30,30,30
uci_har,random_forest,subject_disjoint,raw,0.2,0.8,0.8130886334751903,1.2885683912946047,1.2166666666666666,0.44804359208908534,0.14777393530300795,0.07521755360823174,0.08617724875804188,30,30,30,30,30,30,30,30
wisdm_watch_accel,cnn1d,sample_mixed,raw,0.1,0.9,0.8922309475792574,8.190111088810182,9.132,0.033365229206193156,0.10511324161027069,0.2343570799496374,0.02377730387947106,50,50,50,50,50,50,50,50
wisdm_watch_accel,cnn1d,sample_mixed,raw,0.2,0.8,0.7885585836301923,3.8086744321627943,3.4419999999999997,0.10088743474130327,0.18984288712865388,0.2343570799496374,0.0561874668596167,50,50,50,50,50,50,50,50
wisdm_watch_accel,cnn1d,subject_disjoint,raw,0.1,0.9,0.9035136263201098,8.831802898412871,9.329,0.02960672272058932,0.04407778928846606,0.4901993587333986,0.06843725600593072,50,50,50,50,50,50,50,49
wisdm_watch_accel,cnn1d,subject_disjoint,raw,0.2,0.8,0.81274985662181,6.015116682877024,6.117999999999999,0.04067629000532524,0.07817820732964789,0.4901993587333986,0.16157505985264373,50,50,50,50,50,50,50,49
wisdm_watch_accel,extra_trees,sample_mixed,raw,0.1,0.9,0.9214323671992136,5.355552220769702,5.126,0.08945819692033537,0.0689002945670377,0.17742644116396133,0.01535487519019271,50,50,50,50,50,50,50,50
wisdm_watch_accel,extra_trees,sample_mixed,raw,0.2,0.8,0.8250348721445416,3.646653460887644,3.219,0.13432818886944597,0.1536091499876807,0.17742644116396133,0.032677759866249705,50,50,50,50,50,50,50,50
wisdm_watch_accel,extra_trees,subject_disjoint,raw,0.1,0.9,0.9168765264515784,6.444814973157324,6.266,0.0627426500142358,0.031868583877528577,0.36877749951707595,0.08234375835327958,50,50,50,50,50,50,50,49
wisdm_watch_accel,extra_trees,subject_disjoint,raw,0.2,0.8,0.8268717939140029,4.29265619495814,4.08,0.1137299352631549,0.07960988916427081,0.36877749951707595,0.10462217870470651,50,50,50,50,50,50,50,50
wisdm_watch_accel,hist_gradient_boosting,sample_mixed,raw,0.1,0.9,0.8952961303492302,7.81682756608372,7.42,0.07728338145198474,0.10216076803977887,0.15449353690064652,0.008903825213753819,50,50,50,50,50,50,50,50
wisdm_watch_accel,hist_gradient_boosting,sample_mixed,raw,0.2,0.8,0.7947175354005013,5.547593896285373,4.44,0.10990262376750874,0.20047436028715687,0.15449353690064652,0.01481622280323496,50,50,50,50,50,50,50,50
wisdm_watch_accel,hist_gradient_boosting,subject_disjoint,raw,0.1,0.9,0.8953606262153779,9.844617793576258,10.617,0.06390896098043392,0.09026705547653618,0.35791113176373324,0.05526891813848744,50,50,50,50,50,50,50,50
wisdm_watch_accel,hist_gradient_boosting,subject_disjoint,raw,0.2,0.8,0.7950013142062616,7.173274155149504,6.652,0.08641962217134258,0.17255336566566043,0.35791113176373324,0.09302524715049101,50,50,50,50,50,50,50,50
wisdm_watch_accel,logistic,sample_mixed,raw,0.1,0.9,0.8982475474137889,5.083658147460093,5.129,0.07923665828072192,0.07356824556270879,0.2885665946739464,0.07746183352214882,50,50,50,50,50,50,50,50
wisdm_watch_accel,logistic,sample_mixed,raw,0.2,0.8,0.7926924287712105,3.2752957152058557,3.0260000000000002,0.15425594210871946,0.14294376936071265,0.2885665946739464,0.12277850138671237,50,50,50,50,50,50,50,50
