family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
temporal_overlap_supplement,dataset,uci_har,all,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.014208171911833068,0.009550139098664695,0.02025008424829281,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,dataset,uci_har,all,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,-0.024230135125722904,-0.033828229661202254,-0.015695549087489397,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,dataset,uci_har,all,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.08362849682125387,0.04733463027282968,0.13082685523623397,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
expanded_secondary,dataset,uci_har,all,protocol_brier,protocol_brier,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.07734110641194157,0.05418930508762839,0.10511003394396098,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,protocol_brier,protocol_brier,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.2370477437660875,0.1850203957056116,0.2997629029907104,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,protocol_ece_15,protocol_ece_15,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.032570666430112624,0.025085117749598023,0.04152783578375856,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,protocol_ece_15,protocol_ece_15,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.05220256717195377,0.03317397762092546,0.07612870478316722,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,protocol_macro_f1,protocol_macro_f1,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.054001260903790094,-0.07554211318286126,-0.03587041464815557,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,protocol_macro_f1,protocol_macro_f1,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.1999834645888505,-0.24699783919323703,-0.15988160170332708,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,protocol_nll,protocol_nll,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.18698809814598008,0.11676506532736389,0.2809222858251615,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,protocol_nll,protocol_nll,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.904857818649327,0.6003945224447942,1.282275420317776,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,selective80_iso,selective80_iso,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.043155324988407455,-0.05242894433234633,-0.03433962083800694,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,selective80_iso,selective80_iso,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.06303655813219063,-0.0704374148777393,-0.055499562966766315,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,selective80_raw,selective80_raw,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.044139813855135386,-0.05539779977461204,-0.033586535681730714,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,selective80_raw,selective80_raw,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.06876519947216087,-0.07643340858068266,-0.061122684303628154,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,selective80_temp,selective80_temp,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.044743810271921966,-0.0561386485987265,-0.03392338097982851,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,selective80_temp,selective80_temp,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.06738185505795444,-0.0758764069389538,-0.05895440591527953,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
