dataset,model,protocol,method,representation,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap,aurc,error,n_subjects_total,n_subjects_available_accuracy,n_subjects_available_macro_f1,n_subjects_available_brier,n_subjects_available_nll,n_subjects_available_ece_15,n_subjects_available_confidence_gap,n_subjects_available_mean_confidence,n_subjects_available_overconfidence_positive_gap,n_subjects_available_overconfidence_negative_gap,n_subjects_available_aurc,n_subjects_available_error
uci_har,hist_gradient_boosting,sample_mixed,iso,V1_official_features,0.9890203042174585,0.9891639881964428,0.017171193149100983,0.07671521524766488,0.006303669895613945,0.002769485378335612,0.991789789595794,0.003858078343323609,-0.0010885929649879977,0.002214846503376956,0.010979695782541562,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,V1_official_features,0.9895849151890038,0.9897440214165351,0.016757682085615823,0.03552581551029284,0.006672550225522823,0.0058289484566035315,0.9954138636456074,0.006198959137974864,-0.00037001068137133293,0.00043919397656225537,0.010415084810996185,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,temp,V1_official_features,0.9895849151890038,0.9897440214165351,0.01591596120653879,0.029162759205392647,0.005774740034142592,0.0013161826485235174,0.9909010978375273,0.00295397639874751,-0.0016377937502239925,0.00044452380352674964,0.010415084810996185,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,iso,V1_official_features,0.9336255874191917,0.9276721150733447,0.10724193717737987,0.6626900046630306,0.04626313387624441,0.025296007087915403,0.958921594507107,0.03130197570776922,-0.006005968619853821,0.02279535267830665,0.06637441258080838,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,raw,V1_official_features,0.9353439189371618,0.9289763805791538,0.11249964017527123,0.3639519644479875,0.0511268466302603,0.050231197131280325,0.9855751160684422,0.05056494029331552,-0.0003337431620352049,0.014996718942419317,0.06465608106283818,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,temp,V1_official_features,0.9353439189371618,0.9289763805791538,0.1030905825147477,0.2186458877502987,0.04869865508843632,0.013764496478358272,0.94910841541552,0.026544263328104868,-0.012779766849746597,0.015620406754215528,0.06465608106283818,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,iso,V1_official_features,0.9672966767996314,0.9690011834777088,0.052527978733158474,0.23564805174074802,0.021612959700751624,0.005487038938659749,0.9727837157382913,0.009578183293741287,-0.004091144355081537,0.010711413829096758,0.03270332320036855,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,raw,V1_official_features,0.9678933028715324,0.9694311301973679,0.0510399256588183,0.11090152839033011,0.0190156706188095,0.012605383244438257,0.9804986861159707,0.014481346375522805,-0.001875963131084546,0.0052968914998866145,0.03210669712846755,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,logistic,leakage_reduced_mixed,temp,V1_official_features,0.9678933028715324,0.9694311301973679,0.05052260708014959,0.10096768889190418,0.020999568376688735,-0.0031825210026114235,0.9647107818689211,0.005905005298495902,-0.009087526301107325,0.005785955849311886,0.03210669712846755,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,logistic,sample_mixed,iso,V1_official_features,0.981674910732509,0.9824021947156033,0.029134203644570384,0.09626708452451684,0.01020953367416805,0.0027970584556183766,0.9844719691881274,0.0049263375178936145,-0.0021292790622752375,0.0030969435913676137,0.018325089267490997,30,30,30,30,30,30,30,30,30,30,30,30
