dataset,model,protocol,method,target_coverage,coverage,selective_error,full_error,n_subjects_total,n_subjects_available_coverage,n_subjects_available_selective_error,n_subjects_available_full_error
uci_har,hist_gradient_boosting,leakage_reduced_mixed,temp,0.6,0.5941001273234038,0.00020964360587002098,0.0371858158325099,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,temp,0.7,0.7048361943978912,0.0007395029258732901,0.0371858158325099,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,temp,0.8,0.8017130386388428,0.0036387625390322115,0.0371858158325099,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,temp,0.9,0.8962949980693028,0.011233096839840117,0.0371858158325099,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,temp,1.0,0.9996581432425804,0.03697564236989149,0.0371858158325099,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,iso,0.5,0.947165399107346,0.0020161226908344773,0.010979695782541562,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,iso,0.6,0.947165399107346,0.0020161226908344773,0.010979695782541562,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,iso,0.7,0.947165399107346,0.0020161226908344773,0.010979695782541562,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,iso,0.8,0.947165399107346,0.0020161226908344773,0.010979695782541562,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,iso,0.9,0.9472823149968264,0.00201574820318355,0.010979695782541562,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,iso,1.0,0.9994768041808543,0.010700040242697105,0.010979695782541562,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,0.5,0.496681372379112,0.0,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,0.6,0.5970001716030279,0.0,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,0.7,0.6959123471279217,0.0,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,0.8,0.7959395023001039,0.0,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,0.9,0.8966567367056905,0.00015976758275171147,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,raw,1.0,0.9996145036608024,0.010193505565109737,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,temp,0.5,0.49721683507478853,0.0,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,temp,0.6,0.5967292661630419,0.0,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,temp,0.7,0.6956391604928177,0.0,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,temp,0.8,0.7954802990925031,0.0,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,temp,0.9,0.8968859926784948,0.00019327458798970004,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,sample_mixed,temp,1.0,0.9995271181976894,0.010176603977001875,0.010415084810996185,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,iso,0.5,0.7068241895041308,0.021433423961391772,0.06637441258080838,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,iso,0.6,0.73562092230023,0.021670914702502153,0.06637441258080838,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,iso,0.7,0.7772058327090835,0.02356844525394535,0.06637441258080838,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,iso,0.8,0.826107587643039,0.02542924873149684,0.06637441258080838,30,30,30,30
uci_har,hist_gradient_boosting,subject_disjoint,iso,0.9,0.8978163272074664,0.036506602758804886,0.06637441258080838,30,30,30,30
