effect,seed,estimate,n_subjects_total,n_subjects_available,n_models_expected
selective80_temp,20260911,-0.05427165794394015,80,80,5
selective80_temp,20260912,-0.05762958845579158,80,80,5
selective80_temp,20260913,-0.05756705521576998,80,80,5
selective80_temp,20260914,-0.0544550728056772,80,80,5
selective80_temp,20260915,-0.05761602878604803,80,80,5
selective80_temp,20260916,-0.057589655560222996,80,80,5
selective80_temp,20260917,-0.05442909791925989,80,80,5
selective80_temp,20260918,-0.05525916116346591,80,80,5
selective80_temp,20260919,-0.05521445610701199,80,80,5
selective80_temp,20260920,-0.05659655269219435,80,80,5
