dataset,model,protocol,seed,representation,subject,n_windows,n_folds_contributed,method,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,aurc,error,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1621,353,1,iso,0.5410764872521246,0.5004655448592124,0.5764758499594419,1.565538344101647,0.09053683965703464,-0.02177605664020199,0.21079972173913225,0.45892351274787535,0.5193004306119227,0.0,-0.02177605664020199
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1622,324,1,raw,0.4444444444444444,0.35491446921174075,0.7124263687060837,1.7538641320987116,0.18769788387932895,-0.1311780109909581,0.3551324412652825,0.5555555555555556,0.3132664334534863,0.0,-0.1311780109909581
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1622,324,1,temp,0.4444444444444444,0.35491446921174075,0.7024598237872625,1.7268077083517415,0.143699989558118,-0.09620729780460069,0.3534054873533819,0.5555555555555556,0.34823714663984373,0.0,-0.09620729780460069
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1622,324,1,iso,0.3425925925925926,0.2900481441170115,0.7138017817321026,1.9890775412410655,0.1280622931820595,0.1027775674651133,0.3902968022240431,0.6574074074074074,0.4453701600577059,0.1027775674651133,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1623,323,1,raw,0.8575851393188855,0.8232549641163087,0.21077206183388542,0.4374814079215668,0.11607278629722241,-0.09015681961372546,0.021283239196468063,0.14241486068111453,0.76742831970516,0.0,-0.09015681961372546
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1623,323,1,temp,0.8575851393188855,0.8232549641163087,0.47630548708031717,1.0893198133556208,0.43835935531081843,-0.4383593553108184,0.03258067204785061,0.14241486068111453,0.4192257840080671,0.0,-0.4383593553108184
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1623,323,1,iso,0.8452012383900929,0.8118963461068723,0.30877834064151904,0.7202671630396295,0.22718018290044442,-0.2271801829004444,0.039981978390686033,0.15479876160990713,0.6180210554896485,0.0,-0.2271801829004444
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1624,346,1,raw,0.3554913294797688,0.3122415517890856,0.776280639749179,2.1403265890678385,0.0775073658610355,0.0014354068505970652,0.456468914648422,0.6445086705202312,0.35692673633036587,0.0014354068505970652,0.0
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1624,346,1,temp,0.3554913294797688,0.3122415517890856,0.7999032680304197,2.121319059093007,0.15173534562215538,-0.12376876603384815,0.4736340922969272,0.6445086705202312,0.23172256344592065,0.0,-0.12376876603384815
wisdm_watch_accel,cnn1d,subject_disjoint,20260917,raw_sensor_windows,wisdm_1624,346,1,iso,0.407514450867052,0.36136984033075076,0.7785533604169329,2.4241422289873165,0.12109762418845427,-0.03690255426664585,0.46229489989495726,0.5924855491329479,0.37061189660040617,0.0,-0.03690255426664585
